afable	1
criado;	1
Reinaldos	3
Montalbán,	2
veía	6
salir	11
castillo	19
robar	1
topaba,	1
Allende	1
robó	2
ídolo	1
Mahoma,	2
oro,	5
según	34
dice	11
historia.	3
Diera	1
dar	45
mano	36
coces	2
traidor	2
Galalón,	1
añadidura.	1
efecto,	3
rematado	1
ya	99
extraño	7
pensamiento	7
jamás	27
dio	23
loco	3
mundo,	15
fue	112
pareció	22
convenible	1
necesario,	2
aumento	1
honra,	2
servicio	7
república,	1
hacerse	8
andante,	14
e	16
irse	7
mundo	19
armas	24
caballo	27
buscar	16
aventuras,	10
ejercitarse	1
leído,	4
caballeros	57
andantes	26
ejercitaban,	1
deshaciendo	2
género	10
agravio,	5
poniéndose	1
ocasiones	3
peligros,	3
acabándolos,	1
cobrase	2
eterno	3
fama.	1
Imaginábase	1
coronado	2
valor	14
brazo	10
menos	37
imperio	3
Trapisonda:	1
estos	50
agradables	1
pensamientos,	3
llevado	5
estraño	1
gusto	12
ellos	39
sentía,	2
dió	21
priesa	10
poner	16
efecto	5
deseaba.	1
Y	92
hizo,	2
limpiar	1
unas	16
armas,	15
habían	34
bisabuelos,	1
que,	41
tomadas	1
orín	1
llenas	2
moho,	1
luengos	2
siglos	3
estaban	27
puestas	3
olvidadas	1
rincón.	1
Limpiólas	1
aderezólas	1
pudo;	1
vió	29
tenían	11
falta,	1
celada	10
encaje,	2
sino	104
morrión	2
simple;	1
suplió	1
industria,	3
cartones	1
hizo	35
media	8
celada,	8
encajada	1
morrión,	1
hacía	12
apariencia	1
entera.	1
Es	3
probar	5
fuerte,	1
estar	21
riesgo	1
cuchillada,	1
sacó	5
golpes,	5
deshizo	3
hecho	27
semana:	1
dejó	19
parecerle	5
mal	72
facilidad	7
pedazos,	4
asegurarse	1
peligro,	2
tornó	16
hacer	73
nuevo,	4
poniéndole	4
barras	2
hierro	6
dentro	4
manera,	18
quedó	17
satisfecho	3
fortaleza;	1
y,	1
querer	13
nueva	7
experiencia	5
ella,	11
diputó	2
tuvo	19
finísima	1
encaje.	1
Fue	2
luego	48
rocín,	4
cuartos	1
real,	6
tachas	1
Gonela,	1
tantum	1
pellis,	1
et	1
ossa	1
fuit,	1
Bucéfalo	1
Alejandro,	1
Babieca	1
igualaban.	1
Cuatro	2
pasaron	8
imaginar	1
qué	56
podría:	1
porque,	4
sí	29
famoso,	3
bueno	15
sí,	12
estuviese	5
conocido;	1
procuraba	4
acomodársele,	1
declarase	1
quien	85
sido,	1
antes	34
fuese	18
entones:	1
pues	51
puesto	35
razón,	4
mudando	1
señor	91
estado,	1
mudase	1
nombre;	1
estruendo,	1
convenía	2
orden	20
nuevo	13
profesaba:	1
después	24
muchos	23
nombres	3
formó,	1
borró	1
quitó,	1
añadió,	1
memoria	16
imaginación,	2
llamar	10
ROCINANTE,	1
parecer	17
alto,	3
sonoro	1
significativo	1
ahora	50
era,	7
rocines	1
Puesto	1
caballo,	18
quiso	23
ponérsele	1
pensamiento,	4
duró	1
ocho	4
días,	4
cabo	22
QUIJOTE,	1
queda	9
dicho,	36
tomaron	2
ocasión	17
esta	108
verdadera	6
historia,	8
debía	17
Quijada,	1
quisieron	4
decir.	1
Pero	20
acordándose	2
valeroso	22
Amadís,	2
contentado	1
llamarse	4
secas,	1
añadió	3
reino	5
patria,	3
hacerla	3
famosa,	1
llamó	3
quiso,	4
añadir	1
suyo	6
suya,	5
MANCHA,	1
declaraba	1
vivo	7
linaje	6
della.	3
Limpias,	1
confirmándose	1
faltaba	3
cosa,	11
dama	3
enamorarse,	1
andante	19
árbol	1
hojas	3
fruto,	1
alma.	2
Decíase	1
él:	2
yo	217
malos	5
mis	33
pecados,	1
buena	45
suerte,	5
encuentro	2
ahí	7
gigante,	3
ordinario	4
les	55
acontece	1
andantes,	17
derribo	1
encuentro,	1
parto	2
mitad	22
cuerpo,	7
finalmente,	5
venzo	1
rindo,	1
¿no	5
será	33
quién	23
enviarle	1
presentado,	1
hinque	1
rodillas	3
ante	8
dulce	5
señora,	14
diga	3
voz	17
humilde	1
rendida:	1
soy	31
Caraculiambro,	1
ínsula	6
Malindrania,	1
venció	3
singular	3
batalla	11
debe	27
alabado	2
cual	101
mandó	11
presentase	1
merced,	42
grandeza	2
disponga	1
mí	49
talante?	1
¡Oh,	3
cómo	14
holgó	1
hubo	15
discurso,	2
halló	11
dama!	1
fue,	4
cree,	1
cerca	7
moza	8
labradora	1
parecer,	4
anduvo	4
enamorado,	4
entiende,	1
ella	58
supo	3
cata	1
Llamábase	1
Aldonza	1
Lorenzo,	1
título	7
señora	33
pensamientos;	2
buscándole	3
desdijese	1
suyo,	9
tirase	1
encaminase	1
princesa	6
llamarla	2
DULCINEA	1
DEL	1
TOBOSO,	1
natural	16
Toboso,	15
músico	2
peregrino	1
significativo,	1
demás	18
cosas	37
puesto.	2
segundo	9
primera	9
salida	3
ingenioso	3
Hechas,	2
prevenciones,	1
aguardar	3
apretándole	1
ello	10
falta	17
pensaba	13
tardanza,	1
agravios	4
deshacer,	1
tuertos	2
enderezar,	1
sinrazones	2
enmendar,	1
abusos	1
mejorar,	1
deudas	1
satisfacer;	1
parte	46
persona	14
intención,	3
nadie	8
viese,	3
mañana,	9
día	27
uno	47
calurosos	1
mes	4
Julio),	1
armó	1
todas	52
subió	6
Rocinante,	34
puesta	8
compuesta	1
embrazó	3
adarga,	8
tomó	10
lanza,	13
puerta	15
falsa	3
corral,	10
salió	10
grandísimo	3
contento	13
alborozo	1
cuánta	2
dado	18
principio	9
deseo.	3
Mas	12
apenas	15
campo,	6
asaltó	1
terrible,	3
tal,	4
hiciera	10
dejar	21
comenzada	1
empresa:	1
armado	15
conforme	2
ley	6
caballería,	11
ningún	8
qeu	11
fuera,	3
llevar	16
blancas,	2
novel	3
empresa	5
escudo,	4
hasta	53
esfuerzo	2
ganase.	1
Estos	2
hicieron	9
titubear	1
propósito;	1
pudiendo	4
locura	6
alguna,	11
propuso	4
armar	2
topase,	1
imitación	2
hicieron,	3
leído	18
tenían.	3
blancas	2
limpiarlas	1
teniendo	4
lugar,	10
fuesen	8
armiño:	1
quietó	1
prosiguió	8
camino,	12
otro	68
quería,	1
creyendo	6
consistía	2
fuerza	10
aventuras.	2
Yendo,	3
caminando	3
flamante	1
aventurero,	2
hablando	7
consigo	4
diciendo:	17
¿Quién	5
venideros	3
tiempos,	3
ciando	1
luz	8
famosos	7
hechos,	3
sabio	15
escribiere,	1
ponga,	1
llegue	7
contar	7
manera?	1
"Apenas	1
rubicundo	1
Apolo	2
tendido	5
faz	2
ancha	2
espaciosa	2
doradas	1
hebras	2
hermosos	1
cabellos,	1
pequeños	2
pintados	1
pajarillos	1
arpadas	1
lenguas	2
saludado	1
meliflua	1
armonía	1
venida	4
rosada	1
aurora	1
dejando	11
blanda	2
cama	8
celoso	3
marido,	1
puertas	2
balcones	2
manchego	2
horizonte	1
mortales	3
mostraba,	2
ociosas	1
plumas,	1
comenzó	35
caminar	5
antiguo	1
conocido	3
Montiel."	1
(Y	1
caminaba)	1
"dichosa	1
edad,	2
siglo	1
dichoso	2
adonde	9
saldrán	2
famosas	3
hazañas	7
mías,	4
dignas	2
entallarse	1
bronce,	1
esculpirse	2
mármoles	2
pintarse	1
tablas	2
futuro.	1
¡Oh	4
tú,	6
encantador,	3
quienquiera	2
seas,	2
tocar	3
coronista	1
peregrina	1
historia!	1
Ruégote	1
te	78
olvides	1
Rocinante	23
compañero	6
mío	10
caminos	2
carreras."	1
Luego	4
volvía	5
diciendo,	3
verdaderamente	9
fuera	44
enamorado:	1
"¡Oh,	1
Dulcinea,	10
cautivo	7
corazón!	1
Mucho	1
agravio	6
habedes	3
fecho	5
despedirme	1
reprocharme	1
riguroso	2
afincamiento	1
mandarme	1
fermosura.	1
Plégaos,	1
membraros	1
vuestro	15
sujeto	4
corazón,	5
tantas	12
cuitas	1
amor	18
padece."	1
ensartando	1
disparates,	3
enseñado,	1
imitando	1
cuanto	35
lenguaje;	1
caminaba	3
despaico,	1
sol	12
entraba	1
apriesa	1
ardor,	1
bastante	5
derretirle	1
sesos,	1
algunos	19
tuviera.	1
Casi	1
caminó	1
acontecerle	1
cosa	70
fuese,	5
desesperaba,	1
poerque	1
quisiera	13
topar	3
luego,	8
fuerte	4
brazo.	3
Autores	1
dicen	10
aventura	16
avino	4
Puerto	1
Lápice;	1
molinos	8
viento;	1
he	62
podido	2
averiguar	3
caso,	4
hallado	6
escrito	6
anales	2
es	277
día,	10
anochecer,	1
hallaron	6
cansados	2
muertos	1
hambre;	1
mirando	8
partes,	3
descubriría	1
majada	2
pastores	10
recogerse,	1
